Filename,Document Name,Document Name-Answer,Parties,Parties-Answer,Agreement Date,Agreement Date-Answer,Effective Date,Effective Date-Answer,Expiration Date,Expiration Date-Answer,Renewal Term,Renewal Term-Answer,Notice Period To Terminate Renewal,Notice Period To Terminate Renewal- Answer,Governing Law,Governing Law-Answer
ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement.pdf,['DEVELOPMENT AGREEMENT'],DEVELOPMENT AGREEMENT,"['also known as Stryker Orthopaedics   (""Stryker"")', 'Conformis', 'Howmedica Osteonics Corp.', 'Conformis, Inc.', 'Stryker and Conformis are collectively referred to herein as the ""Parties"" and   individually as a ""Party.""']","Howmedica Ostenonics Corp. (""Stryker""); Conformis, Inc. (""Conformis""); Stryker and Conformis (“Parties” and   individually as a “Party.”)","['September 30, 2019']",9/30/19,"['September 30, 2019']",9/30/19,"['The term of this Agreement shall begin as of the Effective Date and continue until Acceptance of all Deliverables   for Milestones #1 and #2 pursuant to Section 3.4 and completion of Milestone #3, unless earlier terminated under Section 8.2, as   provided for under the Other Agreements, or as mutually agreed by the Parties.']",,[],,[],,['This Agreement shall be governed and construed in accordance with the laws of New York State   (without regard to the conflict of laws provisions thereof).'],New York
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.pdf,['EXCLUSIVE LICENSE AND PRODUCT DEVELOPMENT AGREEMENT'],EXCLUSIVE LICENSE AND PRODUCT DEVELOPMENT AGREEMENT,"['Aucta Pharmaceuticals, Inc.', 'Eton Pharmaceuticals, Inc.', 'Aucta', 'ETON']","Eton Pharmaceuticals, Inc. (“ETON”); Aucta Pharmaceuticals, Inc.(“Aucta”)","['June 12, 2019']",6/12/19,"['The term of this Agreement shall automatically become effective upon the occurrence of (i) ETON executing a commercial supply agreement with a contract manufacturing organization within forty-five (45) days of the Execution Date, provided that ETON has exercised best efforts to execute such agreement and the failure to execute is solely caused by the refusal or inability of the proposed manufacturing organization to sign a reasonable agreement; and (ii) acceptance for review of the Dossier or marketing application for [ * * * ] by the FDA no later than September 2, 2019 (such date, the ""Effective Date"") and shall end upon the termination or expiration of the Agreement as set forth in Section 11 (the ""Term"").']",9/2/19,"['The term of this Agreement shall automatically become effective upon the occurrence of (i) ETON executing a commercial supply agreement with a contract manufacturing organization within forty-five (45) days of the Execution Date, provided that ETON has exercised best efforts to execute such agreement and the failure to execute is solely caused by the refusal or inability of the proposed manufacturing organization to sign a reasonable agreement; and (ii) acceptance for review of the Dossier or marketing application for [ * * * ] by the FDA no later than September 2, 2019 (such date, the ""Effective Date"") and shall end upon the termination or expiration of the Agreement as set forth in Section 11 (the ""Term"").']",Perpetual,[],,[],,"['This Agreement shall be governed, interpreted and construed in accordance with the substantive laws of the Delaware, in the country of the United State of America, without regard to its conflict of laws principles.']",Delaware
FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement.pdf,['JOINT DEVELOPMENT AGREEMENT'],JOINT DEVELOPMENT AGREEMENT,"['FuelCell Energy, Inc.', 'FCE', 'ExxonMobil', 'ExxonMobil Research and Engineering Company']","ExxonMobil Research and Engineering Company (“ExxonMobil”); FuelCell Energy, Inc. (“FCE”)","['November 5, 2019']",11/5/19,"['""Effective Date"" means October 31, 2019.']",10/31/19,"['Unless sooner terminated in accordance with this Article, this Agreement will continue in full force beginning on the Effective Date and ending two (2) years thereafter (""Term"").']",10/31/21,[],,[],,['The validity and interpretation of this Agreement and the legal relations of the Parties to it will be governed by the laws of the State of New York without recourse to its conflicts of law rules.'],New York
ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement.pdf,['RECIPE DEVELOPMENT AGREEMENT'],RECIPE DEVELOPMENT AGREEMENT,"['B C Marketing Concepts Inc., dba Full Sail Brewing Company', ""Reed's"", ""Reed's, Inc."", 'Company']","Reed's, Inc. (""Reed's""); BC Marketing Concepts Inc., dba Full Sail Brewing Company (""Company"")","['October 11, 2019']",10/11/19,"['October 11, 2019']",10/11/19,"['The term of this Agreement shall commence on the Effective Date and shall continue for the longer of the first anniversary of the Effective Date or the duration of the Manufacturing and Distribution Agreement (the ""Term"").']",,[],,[],,"['This Agreement shall be governed by, and any dispute arising hereunder shall be determined in accordance with, the laws of State of New York (without giving effect to conflict of laws principles) including all matters of construction, validity and performance.']",New York
FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement.pdf,['Distributorship agreement'],Distributorship agreement,"['CPM Medical Consultants, LLC', 'Signature Orthopaedics Pty Ltd']","Signature Orthopaedics Pty Ltd; CPM Medical Consultants, LLC",['29/3/18'],3/29/18,[],,"[""This agreement begins on the Commencement Date and, subject to clause 11.2, shall continue for an initial term of one (1) years (Initial Term) and indefinitely after that until terminated by either party giving at least twelve (12) months' prior written notice to expire on or after the expiry date of the initial term.""]",3/29/19,"[""This agreement begins on the Commencement Date and, subject to clause 11.2, shall continue for an initial term of one (1) years (Initial Term) and indefinitely after that until terminated by either party giving at least twelve (12) months' prior written notice to expire on or after the expiry date of the initial term.""]",perpetual,"[""This agreement begins on the Commencement Date and, subject to clause 11.2, shall continue for an initial term of one (1) years (Initial Term) and indefinitely after that until terminated by either party giving at least twelve (12) months' prior written notice to expire on or after the expiry date of the initial term.""]",12 months,['This agreement and any dispute or claim arising out of or in connection with it or its subject matter or formation (including non-contractual disputes or claims) shall be governed by and construed in accordance with Ohio law.'],Ohio
GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement.pdf,['DISTRIBUTOR AGREEMENT'],DISTRIBUTOR AGREEMENT,"['XXXXXXXXXXXXXXXXXXXXX', 'Distributor', 'Company', 'B & C General Warehouse Corporation LLC']","B & C General Warehouse Corporation LLC (""Company""); XXXXXXXXXXXXXXXXXXXXX (""Distributor"")",['1 August 2019'],8/1/19,['1 August 2019'],8/1/19,['This Agreement shall become effective on the date first written above and shall continue in effect for a period of Three (3) years.'],8/1/22,['Distributor shall have the option to renew this Agreement for an additional Three (3) year period by providing prior written notice to Company within Ninety (90) days of the end of the initial period of this Agreement.'],3 years,[],,"['This Agreement is a contract under the laws of the State of Florida and for all purposes shall be governed by and construed in accordance with the substantive laws of the State of Florida, without regard to its principles of conflicts of laws provisions.']",Florida
ImineCorp_20180725_S-1_EX-10.5_11275970_EX-10.5_Distributor Agreement.pdf,['NON-EXCLUSIVE DISTRIBUTOR AGREEMENT'],NON-EXCLUSIVE DISTRIBUTOR AGREEMENT,"['SUNWAI Technology', 'Distributor', 'iMine Corporation', 'JRVS']","iMine Corporation (""JRVS""); SUNWAI Technology (""Distributor"")",['19th day of July 2018'],7/19/18,"['This Agreement shall become effective upon the date first written above and shall remain in full force and effect for a period of two years (2), unless earlier terminated pursuant to the provisions in this Agreement.']",7/19/18,"['This Agreement shall become effective upon the date first written above and shall remain in full force and effect for a period of two years (2), unless earlier terminated pursuant to the provisions in this Agreement.']",7/19/20,[],,[],,"['This Agreement shall be governed by and construed pursuant to the laws of the State of Indiana, U.S.A., without reference to principals of conflicts of laws.']",Indiana
InnerscopeHearingTechnologiesInc_20181109_8-K_EX-10.6_11419704_EX-10.6_Distributor Agreement.pdf,['EXCLUSIVE DISTRIBUTOR AGREEMENT'],EXCLUSIVE DISTRIBUTOR AGREEMENT,"['Erchonia Corporation', 'Distributor', 'InnerScope Hearing Technologies Inc', 'Erchonia']","Erchonia Corporation (""Erchonia""); InnerScope Hearing Technologies Inc (""Distributor"")",[],,[],,"['Unless terminated earlier as provided in this agreement, this Agreement shall have an initial term of three (3) years.']",,['This agreement shall automatically renew for a period of three (3) years and upon the parties mutual agreement on new minimum performance goals for the renewal period.'],3 years,[],,"['This Agreement shall be governed in all respects by the laws of the United States and the State of Florida, except for conflict of laws provisions.']",Florida
WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement.pdf,['EXCLUSIVE DISTRIBUTOR AGREEMENT'],EXCLUSIVE DISTRIBUTOR AGREEMENT,"['Distributor', 'Hydraspin and Distributor are sometimes hereinafter referred to individually as a ""Party"" and collectively as the ""Parties.""', 'the ""Subsidiary,"" and collectively with Water Now, ""Hydraspin"")', 'Hydraspin USA, Inc.', 'WATER NOW, INC.', 'BESTEV MANAGEMENT, LLC', 'Water Now']","WATER NOW, INC.; (""Water Now""); Hydraspin USA, Inc. (""Subsidiary"", collectively with Water Now, ""Hydraspin""); BESTEV MANAGEMENT, LLC (""Distributor""); Hydraspin and Distributor (“Party” and collectively as the “Parties.”)","['12th day of November, 2019']",11/12/19,"['12th day of November, 2019']",11/12/19,"['The initial term of this Agreement shall commence on the Effective Date and end on the five (5) year anniversary of the Effective Date (the ""Initial Term""), unless sooner terminated pursuant to the terms hereo']",11/12/24,"['Upon expiration of the Initial Term of this Agreement, this Agreement will automatically renew for additional, successive five (5) year periods unless either Party provides the other Party written notice of its desire to terminate at least one hundred twenty (120) days prior to the end of the Initial Term or any renewal.']",successive 5 year,"['Upon expiration of the Initial Term of this Agreement, this Agreement will automatically renew for additional, successive five (5) year periods unless either Party provides the other Party written notice of its desire to terminate at least one hundred twenty (120) days prior to the end of the Initial Term or any renewal.']",120 days,"['THIS AGREEMENT, AND THE RIGHTS AND OBLIGATIONS OF THE PARTIES, SHALL BE GOVERNED BY AND CONSTRUED AND ENFORCED IN ACCORDANCE WITH THE SUBSTANTIVE LAWS OF THE STATE OF TEXAS, U.S.A. WITHOUT REGARD TO ITS PRINCIPLES OF CONFLICTS OF LAWS.']",Texas
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.pdf,['ENDORSEMENT AGREEMENT ADDENDUM I'],ENDORSEMENT AGREEMENT ADDENDUM I,"['(""NFLA"")', 'Gridiron BioNutrients™', '(""NFLA-NC"")', 'National Football League Alumni, Inc', 'National Football League Alumni - Northern California Chapter', 'Food For Athletes, Inc', '(collectively the ""Company"").']","National Football League Alumni - Northern California Chapter (""NFLA-NC""); National Football League Alumni, Inc (""NFLA""); Food For Athletes, Inc./ Gridiron Gridiron BioNutrients™ (collectively, the ""Company"")","['November 7, 2017']",11/7/17,"['November 7, 2017']",11/7/17,[],,[],,[],,[],
EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement.pdf,['ENDORSEMENT AGREEMENT'],ENDORSEMENT AGREEMENT,"['Eco Science Solutions, Inc.', 'Stephen Marley', 'Talent', 'ESSI']","Eco Science Solutions, Inc (""ESSI""); Stephen Marley (""Talent"")",['14th day of November 2017'],11/14/17,['14th day of November 2017'],11/14/17,"['The term of this Agreement shall be for one (1) year commencing on the Effective Date and automatically renewing annually thereafter, unless either party provides a thirty-day notice of written termination one to the other (""Term"").']",11/14/18,"['The term of this Agreement shall be for one (1) year commencing on the Effective Date and automatically renewing annually thereafter, unless either party provides a thirty-day notice of written termination one to the other (""Term"").']",successive 1 year,"['The term of this Agreement shall be for one (1) year commencing on the Effective Date and automatically renewing annually thereafter, unless either party provides a thirty-day notice of written termination one to the other (""Term"").']",30 days,"['Regardless of the place of execution hereof, this Agreement, all amendments hereto, and any and all issues or controversies arising here from or related hereto, shall be governed by and construed exclusively in accordance with the laws and decisions of the State of Michigan.']",Michigan
NakedBrandGroupInc_20150731_POS AM (on S-1)_EX-10.75_9196027_EX-10.75_Endorsement Agreement.pdf,['COLLABORATION & ENDORSEMENT AGREEMENT'],COLLABORATION & ENDORSEMENT AGREEMENT,"['Wade Enterprises, Athlete and together with Naked, are each referred to herein as a ""Party"" and collectively, the ""Parties"".', 'Naked', 'Athlete', 'Wade Enterprises', 'The Naked Brands Group, Inc.', '""Athlete"" and together with Wade Enterprises, collectively ""Wade"")', 'Wade Enterprises, LLC', 'f/s/o Dwyane Wade']","The Naked Brands Group, Inc (""Naked""); Wade Enterprises, LLC (""Wade Enterprises""); f/s/o Dwayne Wade (""Athlete"" and together with Wade Enterprises (collectively, ""Wade""); Wade Enterprises, Athlete and togetherwith Naked, (“Party” and collectively, the “Parties”)","['15th day of June, 2015']",6/15/15,"['15th day of June, 2015']",6/15/15,"['The initial term of this Agreement shall be for a period of four (4) years, commencing on the Effective Date, which term may be extended for up to three (3) years by written agreement of both Parties prior to the expiration date of the initial term or any extension thereof (collectively, the ""Term"").']",6/15/19,"['In the event that either Wade or Naked wishes to extend the Term of the Agreement as contemplated above, it shall provide the other Party with written notice at least ninety (90) days prior to the expiration of the Term.', 'The other Party will then have a period of fourteen (14) days from the date of the notice to indicate whether it also desires to extend the Term, on the terms and conditions set forth herein and if no such indication is made, the other Party will be deemed to have declined the offer to extend', 'The initial term of this Agreement shall be for a period of four (4) years, commencing on the Effective Date, which term may be extended for up to three (3) years by written agreement of both Parties prior to the expiration date of the initial term or any extension thereof (collectively, the ""Term"").']",three (3) years,[],,"['This Agreement, all amendments hereto, and any and all issues or controversies arising here from or related hereto, shall be governed by and construed exclusively in accordance with the laws of the State of New York.']",New York
RgcResourcesInc_20151216_8-K_EX-10.3_9372751_EX-10.3_Franchise Agreement.pdf,['GAS FRANCHISE AGREEMENT'],GAS FRANCHISE AGREEMENT,"['TOWN OF VINTON, VIRGINIA', 'ROANOKE GAS COMPANY', 'Grantor', 'Grantee']","TOWN OF VINTON, VIRGINIA (""Grantor""); ROANOKE GAS COMPANY (""Grantee"")","['17th day of November, 2015']",11/17/15,"['The effective date of the Franchise will be January 1, 2016.']",1/1/16,"['The term of the Franchise shall be twenty (20) years, commencing on January 1, 2016.']",1/1/36,[],,[],,[],
SimplicityEsportsGamingCompany_20181130_8-K_EX-10.1_11444071_EX-10.1_Franchise Agreement.pdf,['MASTER FRANCHISE AGREEMENT'],MASTER FRANCHISE AGREEMENT,"['Franchisor', 'Smaaash Entertainment Private Limited', 'I-AM Capital Acquisition Company', 'Franchisee']","Smaaash Entertainment Private Limited (""Franchisor""); I-AM Capital Acquisition Company (""Franchise"")","['20t h day of November, 2018']",11/20/18,"['20t h day of November, 2018']",11/20/18,"['The term of this Agreement shall commence as of the Effective Date and shall continue until terminated as hereinafter provided (the ""Term"").']",perpetual,[],,[],,"['The parties hereto have expressly agreed that this Agreement shall be governed by, and construed in accordance with, the laws of the State of New York, applicable to contracts executed and fully to be performed therein, to the exclusion of any other applicable body of governing law.']",New York
